Country,CountryCode,year,Pop,MalePop,FemalePop,Migrants,MaleMigrants,FemaleMigrants,tot_africa,tot_asia,tot_oceania,tot_developed,tot_latam,Refugees
Kyrgyzstan,417,2010,5465000,2695000,2770000,231511,94348,137163,0,44289,0,182235,0,2458
Tajikistan,762,2010,7582000,3812000,3769000,278152,120124,158028,187,34083,0,243554,25,3131
Turkmenistan,795,2010,5042000,2483000,2559000,197979,90600,107379,0,121944,0,73493,0,62
Uzbekistan,860,2010,27740000,13651000,14088000,1220149,558379,661770,0,60173,0,1079928,0,311
China,156,2010,1340969000,690256000,650712000,849861,505758,344103,NA,NA,NA,NA,NA,300986
"China, Hong Kong Special Administrative Region",344,2010,6994000,3281000,3713000,2779950,1147539,1632411,NA,NA,NA,NA,NA,154
"China, Macao Special Administrative Region",446,2010,535000,257000,278000,318506,146407,172099,NA,NA,NA,NA,NA,NA
Democratic People's Republic of Korea,408,2010,24501000,11970000,12531000,44010,21766,22244,0,37056,0,2017,2999,NA
Japan,392,2010,127320000,62018000,65302000,2134151,959860,1174291,6205,1641749,0,126220,290325,2586
Mongolia,496,2010,2713000,1346000,1367000,16061,11880,4181,0,11375,0,4134,0,12
Republic of Korea,410,2010,49090000,24422000,24668000,919275,525031,394244,2742,772584,0,102110,0,358
Brunei Darussalam,96,2010,393000,203000,190000,100587,56723,43864,0,96215,0,3367,0,NA
Cambodia,116,2010,14364000,6997000,7366000,81977,43385,38592,0,77657,0,1062,0,129
Indonesia,360,2010,241613000,121773000,119840000,305416,174864,130552,0,194030,0,74278,0,811
Lao People's Democratic Republic,418,2010,6261000,3106000,3154000,21185,11367,9818,0,17062,0,17,0,NA
Malaysia,458,2010,28120000,13956000,14163000,2406011,1437206,968805,926,2185921,0,32301,0,81516
Myanmar,104,2010,51733000,25252000,26481000,76414,41574,34840,0,66565,0,0,0,NA
Philippines,608,2010,93039000,47060000,45979000,208599,107933,100666,2936,71864,0,76005,1568,243
Singapore,702,2010,5079000,2506000,2573000,2164794,956856,1207938,0,1889185,0,30250,0,7
Thailand,764,2010,66692000,32938000,33754000,3224131,1624755,1599376,148,3198511,0,24692,0,96675
Timor-Leste,626,2010,1057000,537000,520000,10983,6441,4542,0,8311,0,1075,293,1
Viet Nam,704,2010,88358000,43627000,44731000,61756,35971,25785,NA,NA,NA,NA,NA,1928
Afghanistan,4,2010,27962000,14368000,13595000,102246,57709,44537,0,73174,0,0,0,6434
Bangladesh,50,2010,151617000,76666000,74951000,1345546,1164455,181091,0,973729,0,101713,14109,229253
Bhutan,64,2010,720000,386000,334000,48420,39283,9137,0,44176,0,532,0,NA
India,356,2010,1230985000,638355000,592630000,5436012,2787826,2648186,4890,5308996,0,15975,0,184821
Iran (Islamic Republic of),364,2010,74253000,37543000,36711000,2761561,1571723,1189838,0,2509220,0,0,0,1073366
Maldives,462,2010,333000,167000,166000,73604,47995,25609,29,68312,0,1230,0,NA
Nepal,524,2010,26876000,13091000,13785000,578657,189518,389139,0,556029,0,0,0,87514
Pakistan,586,2010,170044000,87415000,82629000,3941586,2074443,1867143,0,3938511,0,0,0,1900621
Sri Lanka,144,2010,20201000,9830000,10371000,38959,20694,18265,385,26340,0,10361,38,223
Armenia,51,2010,2963000,1523000,1440000,221560,90345,131215,0,179893,0,14848,0,13732
Azerbaijan,31,2010,9100000,4510000,4590000,276901,129512,147389,0,239721,0,34690,0,1908
Bahrain,48,2010,1261000,787000,474000,657856,475905,181951,83019,544574,0,4947,0,165
Cyprus,196,2010,1104000,563000,540000,187923,82284,105639,13696,53325,0,117956,692,3394
Georgia,268,2010,4250000,2018000,2232000,182202,78548,103654,0,33931,0,144318,0,639
Iraq,368,2010,30868000,15608000,15260000,117389,72965,44424,20419,57653,0,272,0,34651
Israel,376,2010,7420000,3665000,3755000,1950615,890352,1060263,335131,273686,0,673547,58020,25471
Jordan,400,2010,6518000,3360000,3158000,2722983,1384313,1338670,144742,787877,0,20460,365,2372937
Kuwait,414,2010,3059000,1724000,1335000,1871537,1309814,561723,225171,1513024,0,14802,0,184
Lebanon,422,2010,4337000,2212000,2125000,820655,427358,393297,99887,186007,0,1905,0,462584
Oman,512,2010,2944000,1756000,1188000,816221,658746,157475,37339,739923,0,5838,0,78
Qatar,634,2010,1766000,1330000,435000,1456413,1206571,249842,169539,1218152,0,9054,0,51
Saudi Arabia,682,2010,28091000,15820000,12271000,8429956,5933281,2496675,1007410,7139654,0,0,0,555
State of Palestine,275,2010,4069000,2063000,2006000,258032,114688,143344,19239,207865,0,7904,0,1955469
Syrian Arab Republic,760,2010,20721000,10479000,10242000,1661922,848834,813088,3301,1013911,0,0,0,1481547
Turkey,792,2010,72310000,35525000,36786000,1367034,625960,741074,5061,111502,0,1133700,950,10032
United Arab Emirates,784,2010,8329000,6232000,2097000,7316611,5463515,1853096,930784,6045582,0,55500,0,538
Yemen,887,2010,23592000,11918000,11674000,285837,154710,131127,233283,13301,0,0,0,190092
Belarus,112,2010,9492000,4414000,5078000,1090378,499384,590994,73,131601,0,958157,231,589
Bulgaria,100,2010,7407000,3606000,3801000,76287,33841,42446,1234,15995,0,56541,694,5530
Czech Republic,203,2010,10507000,5155000,5351000,397785,235936,161849,3998,82894,0,308648,1869,2449
Hungary,348,2010,10015000,4757000,5258000,436616,210212,226404,5192,32192,0,386438,3057,5414
Poland,616,2010,38575000,18671000,19904000,642417,262263,380154,3607,18867,0,610498,1603,15555
Republic of Moldova,498,2010,4084000,1964000,2121000,157668,60541,97127,0,9392,0,143340,0,148
Romania,642,2010,20299000,9860000,10439000,155982,77499,78483,54,17434,0,125565,28,1021
Russian Federation,643,2010,143158000,66390000,76768000,11194710,5514401,5680309,9872,6712606,0,4465566,4200,4922
Slovakia,703,2010,5407000,2621000,2786000,146319,66938,79381,783,5104,0,139261,471,461
Ukraine,804,2010,45647000,21095000,24553000,4818767,2072474,2746293,1732,753568,0,3722333,0,2522
Channel Islands,830,2010,160000,79000,81000,77581,36982,40599,0,0,0,74628,0,NA
Denmark,208,2010,5551000,2753000,2798000,509740,246217,263523,36277,185838,0,245938,14219,17922
Estonia,233,2010,1332000,620000,712000,217890,87644,130246,168,11271,0,206156,197,39
Faeroe Islands,234,2010,49000,NA,NA,5096,2700,2396,68,262,0,4305,59,NA
Finland,246,2010,5368000,2634000,2734000,248135,125389,122746,22344,55577,0,162947,4959,8724
Iceland,352,2010,318000,160000,158000,35091,17619,17472,740,4573,0,28520,797,83
Ireland,372,2010,4617000,2301000,2316000,730542,360440,370102,45250,71606,0,600983,11785,9107
Isle of Man,833,2010,84000,NA,NA,43447,21361,22086,577,0,0,40800,0,NA
Latvia,428,2010,2091000,955000,1135000,313786,124675,189111,121,17749,0,295675,225,68
Lithuania,440,2010,3123000,1440000,1683000,160772,69606,91166,84,10637,0,149490,137,803
Norway,578,2010,4891000,2444000,2447000,526799,268505,258294,52553,158342,0,278699,22416,40260
Sweden,752,2010,9382000,4672000,4711000,1384929,673083,711846,112349,446733,0,652355,72257,82629
United Kingdom of Great Britain and Northern Ireland,826,2010,62717000,30813000,31903000,7604583,3667186,3937397,1259286,2703269,0,3126311,363734,238150
Albania,8,2010,2902000,1463000,1439000,52784,26901,25883,0,1990,0,44949,0,99
Andorra,20,2010,84000,NA,NA,52053,27486,24567,556,443,0,47374,1049,NA
Bosnia and Herzegovina,70,2010,3835000,1910000,1926000,38792,18504,20288,NA,NA,NA,NA,NA,7016
Croatia,191,2010,4316000,2081000,2236000,573248,268466,304782,673,1287,0,550510,772,863
Gibraltar,292,2010,31000,NA,NA,10369,5171,5198,933,0,0,7259,0,NA
Greece,300,2010,11178000,5484000,5694000,1269749,615560,654189,55056,285469,0,919075,7206,1444
Holy See,336,2010,1000,NA,NA,799,377,422,0,0,0,0,0,NA
Italy,380,2010,59588000,28937000,30651000,5787893,2663889,3124004,997482,865477,0,3235903,607623,56397
Malta,470,2010,412000,205000,207000,33084,16777,16307,3624,2311,0,25435,138,6136
Montenegro,499,2010,622000,307000,315000,78507,31636,46871,0,79,0,78046,0,NA
Portugal,620,2010,10585000,5065000,5520000,762825,371536,391289,264345,27728,0,269906,144405,384
San Marino,674,2010,31000,NA,NA,4399,2435,1964,0,0,0,4099,93,NA
Serbia,688,2010,9059000,4428000,4631000,826066,364654,461412,472,3938,0,820252,284,73608
Slovenia,705,2010,2052000,1017000,1036000,253786,141285,112501,321,1715,0,250380,927,312
Spain,724,2010,46601000,23044000,23557000,6280065,3238238,3041827,1062141,357008,0,2415356,2342774,3820
The former Yugoslav Republic of Macedonia,807,2010,2062000,1028000,1035000,129701,54067,75634,1813,19770,0,106703,0,959
Austria,40,2010,8392000,4089000,4303000,1275992,608918,667074,39453,261660,0,955661,17551,42630
Belgium,56,2010,10930000,5356000,5574000,1052844,534608,518236,153331,100340,0,764298,15832,17892
France,250,2010,62961000,30676000,32285000,7196481,3508928,3687553,3356390,907368,0,2537237,254267,200687
Germany,276,2010,80435000,39412000,41023000,11605690,5519698,6085992,400754,3870179,0,7103681,217279,594269
Liechtenstein,438,2010,36000,NA,NA,22342,10867,11475,48,825,0,20554,277,92
Luxembourg,442,2010,508000,252000,256000,163142,81420,81722,535,1567,0,159243,414,3254
Monaco,492,2010,37000,NA,NA,21132,10325,10807,NA,NA,NA,NA,NA,0
Netherlands,528,2010,16632000,8235000,8396000,1832510,881264,951246,297160,604328,0,573630,251298,74961
Switzerland,756,2010,7831000,3855000,3975000,2075182,937911,1137271,107227,237365,0,1494766,108705,48813
Anguilla,660,2010,14000,NA,NA,5103,2415,2688,0,0,0,1028,1909,NA
Antigua and Barbuda,28,2010,87000,42000,46000,26412,11788,14624,203,481,0,4060,14834,NA
Aruba,533,2010,102000,48000,53000,34327,15311,19016,0,2339,0,5096,21961,NA
Bahamas,44,2010,361000,176000,184000,54736,27878,26858,385,1832,0,13801,35953,28
Barbados,52,2010,280000,134000,145000,32825,14746,18079,0,482,0,4053,14252,NA
"Bonaire, Sint Eustatius and Saba",535,2010,21000,NA,NA,11445,5530,5915,NA,NA,NA,NA,NA,NA
British Virgin Islands,92,2010,27000,NA,NA,15558,7667,7891,0,56,0,2244,5987,2
Cayman Islands,136,2010,56000,NA,NA,24057,12312,11745,151,2458,0,6888,14275,1
Cuba,192,2010,11308000,5686000,5622000,14818,6611,8207,151,366,0,9867,3405,411
Curacao,531,2010,148000,68000,80000,34627,14195,20432,0,1540,0,10361,18976,6
Dominica,212,2010,71000,NA,NA,5765,3027,2738,43,100,0,1345,2372,NA
Dominican Republic,214,2010,9898000,4941000,4957000,393720,238742,154978,222,2649,0,43447,338547,599
Grenada,308,2010,105000,52000,52000,6980,3463,3517,NA,NA,NA,NA,NA,NA
Guadeloupe,312,2010,457000,213000,243000,94942,42768,52174,150,723,0,57614,26572,NA
Haiti,332,2010,1.00E+07,4943000,5056000,35104,20162,14942,0,640,0,12634,18803,0
Jamaica,388,2010,2741000,1362000,1379000,23677,12024,11653,0,1152,0,12514,6548,21
Martinique,474,2010,395000,182000,212000,59575,26330,33245,99,301,0,45804,10889,NA
Montserrat,500,2010,5000,NA,NA,1277,657,620,0,0,0,250,323,NA
Puerto Rico,630,2010,3710000,1783000,1927000,304969,142939,162030,36,1913,0,189479,95288,NA
Saint Kitts and Nevis,659,2010,52000,NA,NA,7245,3806,3439,0,0,0,0,2094,NA
Saint Lucia,662,2010,177000,87000,90000,12100,6106,5994,50,212,0,2007,4412,0
Saint Vincent and the Grenadines,670,2010,109000,55000,54000,4485,2190,2295,NA,NA,NA,NA,NA,NA
Sint Maarten (Dutch part),534,2010,33000,NA,NA,26200,12570,13630,0,1333,0,1173,15677,NA
Trinidad and Tobago,780,2010,1328000,657000,671000,48226,23152,25074,485,2096,0,9844,27486,131
Turks and Caicos Islands,796,2010,31000,NA,NA,10875,5627,5248,0,0,0,1573,7408,NA
United States Virgin Islands,850,2010,106000,51000,56000,56684,26722,29962,0,0,0,16851,16510,NA
Belize,84,2010,322000,161000,161000,46360,23459,22901,38,2086,0,4583,38249,134
Costa Rica,188,2010,4545000,2277000,2268000,405404,195873,209531,157,4551,0,25264,361349,19505
El Salvador,222,2010,6038000,2854000,3184000,40324,19148,21176,0,472,0,7004,32572,38
Guatemala,320,2010,14732000,7197000,7535000,66384,30917,35467,28,2510,0,10812,52444,138
Honduras,340,2010,7504000,3751000,3753000,27288,14306,12982,0,612,0,6310,20009,14
Mexico,484,2010,118618000,58988000,59629000,969538,490691,478847,1122,16437,0,810577,136313,1395
Nicaragua,558,2010,5738000,2827000,2911000,37333,19128,18205,459,319,0,5473,29138,64
Panama,591,2010,3621000,1819000,1802000,157309,80931,76378,NA,NA,NA,NA,NA,17073
Argentina,32,2010,41223000,20163000,21060000,1805957,831696,974261,NA,NA,NA,NA,NA,4223
Bolivia (Plurinational State of),68,2010,9918000,4970000,4948000,122846,64380,58466,NA,NA,NA,NA,NA,736
Brazil,76,2010,198614000,97830000,100785000,592568,319882,272686,16632,50653,0,335541,158118,5157
Chile,152,2010,17015000,8392000,8623000,369436,174079,195357,12873,8139,0,40632,305467,1621
Colombia,170,2010,45918000,22641000,23277000,124271,65622,58649,364,4955,0,37561,79833,212
Ecuador,218,2010,14935000,7472000,7462000,325366,167773,157593,351,4388,0,41030,229810,121249
Falkland Islands (Malvinas),238,2010,3000,NA,NA,1436,807,629,NA,NA,NA,NA,NA,NA
French Guiana,254,2010,234000,117000,117000,96288,46564,49724,NA,NA,NA,NA,NA,0
Guyana,328,2010,753000,376000,377000,13126,7023,6103,NA,NA,NA,NA,NA,7
Paraguay,600,2010,6210000,3150000,3059000,160299,83394,76905,0,3410,0,11190,138819,115
Peru,604,2010,29374000,14676000,14698000,84066,42204,41862,195,5857,0,32814,43414,1146
Suriname,740,2010,518000,260000,258000,39713,21659,18054,NA,NA,NA,NA,NA,8
Uruguay,858,2010,3374000,1627000,1747000,76263,34507,41756,0,0,0,33699,38078,189
Venezuela (Bolivarian Republic of),862,2010,28996000,14474000,14522000,1331488,667963,663525,1808,38641,0,206968,1077674,201547
Bermuda,60,2010,64000,NA,NA,18884,9202,9682,567,1565,0,13165,2478,NA
Canada,124,2010,34126000,16927000,17200000,7011226,3356211,3655015,NA,NA,NA,NA,NA,165549
Greenland,304,2010,57000,NA,NA,6226,4210,2016,0,189,0,5565,0,NA
Saint Pierre and Miquelon,666,2010,6000,NA,NA,1017,531,486,0,0,0,997,0,NA
United States of America,840,2010,309876000,153292000,156584000,44183643,21694169,22489474,1358963,10323218,0,6175274,21961447,264574
Australia,36,2010,22163000,11086000,11077000,5882980,2922030,2960950,362920,2160740,0,3056560,108970,25505
New Zealand,554,2010,4369000,2145000,2224000,947443,459047,488396,63480,274295,0,421772,6772,2307
Fiji,242,2010,860000,439000,421000,13351,7137,6214,0,5250,0,2751,0,1
New Caledonia,540,2010,246000,125000,121000,61158,32886,28272,2291,3574,0,37084,0,NA
Papua New Guinea,598,2010,6848000,3493000,3355000,25424,16370,9054,28,10169,0,13680,0,4698
Solomon Islands,90,2010,526000,267000,259000,2760,1546,1214,0,564,0,481,0,NA
Vanuatu,548,2010,236000,120000,116000,2991,1487,1504,0,0,0,1528,0,4
Guam,316,2010,159000,81000,78000,75416,38924,36492,0,34199,0,20425,3915,NA
Kiribati,296,2010,103000,51000,52000,2868,1512,1356,0,0,0,184,0,NA
Marshall Islands,584,2010,52000,NA,NA,3089,1895,1194,0,805,0,1346,0,NA
Micronesia (Federated States of),583,2010,104000,53000,51000,2805,1502,1303,0,194,0,225,0,NA
Nauru,520,2010,10000,NA,NA,2112,1133,979,NA,NA,NA,NA,NA,0
Northern Mariana Islands,580,2010,54000,NA,NA,24168,10223,13945,NA,NA,NA,NA,NA,NA
Palau,585,2010,20000,NA,NA,5787,3346,2441,0,3649,0,517,0,0
American Samoa,16,2010,56000,NA,NA,23555,12098,11457,0,2225,0,3279,0,NA
Cook Islands,184,2010,20000,NA,NA,3769,1895,1874,0,0,0,2808,0,NA
French Polynesia,258,2010,268000,137000,131000,31640,18037,13603,717,707,0,23640,0,NA
Niue,570,2010,2000,NA,NA,545,295,250,0,0,0,208,0,NA
Samoa,882,2010,186000,96000,90000,5122,2594,2528,0,62,0,2427,0,NA
Tokelau,772,2010,1000,NA,NA,429,206,223,0,0,0,191,0,NA
Tonga,776,2010,104000,52000,52000,5022,2727,2295,0,397,0,92,0,NA
Tuvalu,798,2010,10000,NA,NA,154,85,69,0,0,0,19,0,NA
Wallis and Futuna Islands,876,2010,14000,NA,NA,2776,1401,1375,NA,NA,NA,NA,NA,NA
Burundi,108,2005,7934000,3920000,4014000,172874,84805,88069,156242,0,0,698,0,20681
Comoros,174,2005,619000,312000,307000,13209,6286,6923,10376,0,0,509,0,5
Djibouti,262,2005,778000,391000,387000,92091,51315,40776,86362,218,0,0,0,10456
Eritrea,232,2005,4191000,2090000,2101000,14314,7729,6585,10439,208,0,369,0,4418
Ethiopia,231,2005,76608000,38217000,38392000,514242,269725,244517,351908,107,0,0,0,100817
Kenya,404,2005,35349000,17665000,17684000,756894,391310,365584,633412,0,0,0,0,251271
Madagascar,450,2005,18290000,9107000,9183000,26058,14744,11314,8910,2891,0,7269,0,0
Malawi,454,2005,12748000,6342000,6406000,221661,105931,115730,169429,2462,0,1504,0,4240
Mauritius,480,2005,1222000,606000,616000,19647,8943,10704,1648,14723,0,2032,0,NA
Mayotte,175,2005,178000,88000,90000,63176,31364,31812,54300,0,0,7789,0,NA
Mozambique,508,2005,21127000,10213000,10914000,204830,102500,102330,113759,3403,0,5688,0,1954
Reunion,638,2005,792000,388000,403000,115076,59196,55880,26800,0,0,75927,0,NA
Rwanda,646,2005,9008000,4297000,4711000,432797,217027,215770,409872,0,0,0,0,59117
Seychelles,690,2005,89000,44000,44000,8997,5820,3177,1899,5955,0,678,36,NA
Somalia,706,2005,8467000,4205000,4262000,20670,11047,9623,1159,0,0,0,0,493
South Sudan,728,2005,8100000,4041000,4059000,NA,NA,NA,0,0,0,0,0,NA
Uganda,800,2005,28042000,13971000,14072000,652968,322421,330547,639627,5710,0,4560,0,257256
United Republic of Tanzania,834,2005,39066000,19395000,19671000,770846,486774,284072,749566,7815,0,3931,0,548824
Zambia,894,2005,12044000,5998000,6046000,252749,128553,124196,221053,4415,0,2525,0,155718
Zimbabwe,716,2005,12984000,6436000,6548000,392693,223970,168723,300983,0,0,19394,0,4435
Angola,24,2005,17913000,8857000,9056000,61329,30240,31089,36278,0,0,9070,0,13867
Cameroon,120,2005,18127000,9045000,9082000,258737,142397,116340,234599,0,0,7061,0,52042
Central African Republic,140,2005,4056000,1995000,2060000,94449,50236,44213,54711,16,0,12496,0,24569
Chad,148,2005,10068000,5025000,5042000,352062,159715,192347,341365,0,0,719,0,275412
Congo,178,2005,3503000,1750000,1753000,315238,171420,143818,306075,661,0,4765,169,66075
Democratic Republic of the Congo,180,2005,56090000,27878000,28212000,622869,302290,320579,436289,0,0,0,0,204341
Equatorial Guinea,226,2005,626000,321000,305000,6588,3564,3024,1770,0,0,3555,0,NA
Gabon,266,2005,1378000,690000,688000,214123,122279,91844,196017,1678,0,9057,0,8545
Sao Tome and Principe,678,2005,153000,76000,77000,3433,1727,1706,1233,0,0,171,0,NA
Algeria,12,2005,33268000,16809000,16459000,247537,135748,111789,147454,33739,0,6723,0,94101
Egypt,818,2005,74942000,37762000,37180000,274001,158277,115724,50668,52299,0,36747,711,88946
Libya,434,2005,5802000,2999000,2802000,625212,445597,179615,137991,202247,0,50058,780,12166
Morocco,504,2005,30385000,14986000,15400000,54379,27543,26836,16358,3465,0,22967,0,219
Sudan,729,2005,31990000,16050000,15940000,541994,275915,266079,497763,4287,0,0,0,147256
Tunisia,788,2005,10102000,5032000,5071000,35040,18000,17040,17678,426,0,7376,0,113
Western Sahara,732,2005,428000,226000,202000,3891,2224,1667,3532,0,0,202,0,NA
Botswana,72,2005,1864000,930000,934000,88829,49695,39134,NA,NA,NA,NA,NA,3109
Lesotho,426,2005,1926000,939000,987000,6290,3402,2888,3129,554,0,86,0,1
Namibia,516,2005,2027000,990000,1037000,106274,57034,49240,NA,NA,NA,NA,NA,5307
South Africa,710,2005,48353000,23744000,24609000,1210936,712219,498717,845178,49769,0,278384,4811,29714
Swaziland,748,2005,1105000,540000,565000,27097,14721,12376,21991,0,0,248,0,760
Benin,204,2005,8182000,4048000,4134000,171499,93882,77617,134568,0,0,1256,0,5558
Burkina Faso,854,2005,13422000,6622000,6800000,596972,285542,311430,NA,NA,NA,NA,NA,609
Cabo Verde,132,2005,474000,232000,242000,12700,6523,6177,8808,50,0,2572,372,NA
Cote d'Ivoire,384,2005,18133000,9306000,8827000,2010824,1113590,897234,1945405,0,0,0,0,41627
Gambia,270,2005,1441000,714000,726000,181905,96230,85675,176630,0,0,0,0,7998
Ghana,288,2005,21390000,10686000,10704000,304436,159363,145073,NA,NA,NA,NA,NA,53537
Guinea,324,2005,9669000,4833000,4836000,229611,111738,117873,203656,4300,0,10287,696,63525
Guinea-Bissau,624,2005,1463000,725000,737000,20736,10298,10438,17836,0,0,1269,0,7616
Liberia,430,2005,3270000,1639000,1630000,87188,51183,36005,64940,2398,0,3289,0,10168
Mali,466,2005,12881000,6465000,6417000,256797,132244,124553,127348,307,0,10856,0,11233
Mauritania,478,2005,3154000,1584000,1570000,58119,32588,25531,53902,966,0,416,224,632
Niger,562,2005,13485000,6768000,6717000,124461,59170,65291,113125,0,0,0,0,301
Nigeria,566,2005,139611000,70832000,68780000,648019,357751,290268,581729,0,0,0,0,9019
Saint Helena,654,2005,4000,NA,NA,487,263,224,NA,NA,NA,NA,NA,NA
Senegal,686,2005,11269000,5527000,5742000,238298,124854,113444,183578,2159,0,13052,544,23341
Sierra Leone,694,2005,5071000,2501000,2570000,149615,79638,69977,144614,2688,0,1268,0,59965
Togo,768,2005,5578000,2737000,2841000,203379,102877,100502,180045,352,0,1430,0,9287
Kazakhstan,398,2005,15452000,7421000,8031000,3102962,1473441,1629521,0,406588,0,2696374,0,7265
Kyrgyzstan,417,2005,5115000,2530000,2585000,312897,129544,183353,0,56868,0,249073,0,6594
Tajikistan,762,2005,6806000,3421000,3385000,280444,121381,159063,182,37277,0,242653,24,1018
Turkmenistan,795,2005,4748000,2342000,2406000,213051,94406,118645,0,131225,0,79090,0,11963
Uzbekistan,860,2005,25922000,12782000,13140000,1329345,589437,739908,0,65936,0,1181048,0,43950
China,156,2005,1305601000,671410000,634191000,678947,379920,299027,NA,NA,NA,NA,NA,297346
"China, Hong Kong Special Administrative Region",344,2005,6842000,3270000,3572000,2721235,1185121,1536114,NA,NA,NA,NA,NA,567
"China, Macao Special Administrative Region",446,2005,468000,224000,244000,279308,130387,148921,NA,NA,NA,NA,NA,NA
Democratic People's Republic of Korea,408,2005,23813000,11624000,12189000,40097,19749,20348,0,32848,0,1732,2564,NA
Japan,392,2005,126979000,61956000,65023000,2012916,924544,1088372,5853,1548485,0,119051,273832,1941
Mongolia,496,2005,2526000,1257000,1270000,11475,7576,3899,0,6928,0,3873,0,0
Republic of Korea,410,2005,47606000,23790000,23816000,485546,284034,201512,1473,396686,0,65405,0,69
Brunei Darussalam,96,2005,362000,186000,176000,98441,55265,43176,0,94161,0,3296,0,NA
Cambodia,116,2005,13320000,6465000,6855000,114031,57511,56520,0,108021,0,1478,0,130
Indonesia,360,2005,226255000,113587000,112667000,289568,165493,124075,0,211516,0,43709,0,405
Lao People's Democratic Republic,418,2005,5745000,2841000,2904000,20371,10930,9441,0,16439,0,16,0,NA
Malaysia,458,2005,25796000,12995000,12801000,1722344,995607,726737,528,1560328,0,22542,0,33693
Myanmar,104,2005,49985000,24420000,25564000,83025,44506,38519,0,72323,0,0,0,NA
Philippines,608,2005,86141000,43293000,42848000,257468,133023,124445,4207,97399,0,81427,4258,96
Singapore,702,2005,4496000,2231000,2264000,1710594,758762,951832,0,1505961,0,20659,0,3
Thailand,764,2005,65864000,32544000,33320000,2163447,1086166,1077281,78,2137853,0,25108,0,117053
Timor-Leste,626,2005,989000,502000,488000,11286,5582,5704,0,8537,0,1094,299,3
Viet Nam,704,2005,84204000,41470000,42734000,51768,31106,20662,NA,NA,NA,NA,NA,2357
Afghanistan,4,2005,24400000,12616000,11784000,87300,49274,38026,0,67045,0,0,0,32
Bangladesh,50,2005,142930000,72793000,70137000,1166700,1007698,159002,0,824821,0,87883,12165,125586
Bhutan,64,2005,651000,347000,304000,40279,32742,7537,0,36749,0,442,0,NA
India,356,2005,1144326000,593104000,551223000,5923642,3045693,2877949,5330,5785239,0,17412,0,139283
Iran (Islamic Republic of),364,2005,70122000,35797000,34326000,2568930,1410319,1158611,0,2288550,0,0,0,974302
Maldives,462,2005,305000,153000,152000,45045,27079,17966,27,41704,0,1032,0,NA
Nepal,524,2005,25507000,12641000,12866000,679457,235203,444254,0,644651,0,0,0,126436
Pakistan,586,2005,153356000,79029000,74327000,3171132,1708514,1462618,0,3167999,0,0,0,1084694
Sri Lanka,144,2005,19526000,9626000,9900000,39526,21318,18208,190,32426,0,5195,18,106
Armenia,51,2005,3015000,1479000,1536000,469119,191401,277718,0,421489,0,17830,0,219550
Azerbaijan,31,2005,8563000,4218000,4345000,302220,135336,166884,0,261840,0,37890,0,3505
Bahrain,48,2005,867000,521000,346000,404018,288614,115404,52263,332990,0,3235,0,83
Cyprus,196,2005,1033000,522000,510000,117165,50421,66744,8540,33257,0,73573,429,701
Georgia,268,2005,4475000,2111000,2364000,199805,86123,113682,0,35535,0,159810,0,3520
Iraq,368,2005,27018000,13660000,13358000,132915,80883,52032,20219,57087,0,269,0,50177
Israel,376,2005,6604000,3258000,3346000,1889503,867805,1021698,327094,292465,0,743190,52570,1548
Jordan,400,2005,5333000,2763000,2570000,2325414,1183645,1141769,195358,495446,0,15914,285,1972086
Kuwait,414,2005,2264000,1328000,935000,1333327,918580,414747,170672,1076431,0,11280,0,1523
Lebanon,422,2005,3987000,2026000,1961000,756784,390331,366453,115950,136223,0,2640,0,421239
Oman,512,2005,2507000,1401000,1106000,666160,527842,138318,35065,597530,0,5627,0,7
Qatar,634,2005,837000,558000,279000,646026,498428,147598,65165,548528,0,4490,0,46
Saudi Arabia,682,2005,24745000,13810000,10935000,6501819,4469805,2032014,776989,5506635,0,0,0,240701
State of Palestine,275,2005,3579000,1815000,1764000,266617,119621,146996,18579,217788,0,7978,0,1681550
Syrian Arab Republic,760,2005,18133000,9277000,8856000,876410,449470,426940,1347,356970,0,0,0,454047
Turkey,792,2005,67861000,33364000,34496000,1319236,618938,700298,3927,101931,0,1100173,924,2399
United Arab Emirates,784,2005,4482000,3186000,1296000,3281036,2388278,892758,427241,2699924,0,26424,0,104
Yemen,887,2005,20504000,10356000,10149000,171073,98379,72694,125120,9320,0,0,0,81937
Belarus,112,2005,9641000,4502000,5139000,1106982,506988,599994,77,133506,0,972822,241,474
Bulgaria,100,2005,7683000,3740000,3942000,61074,26594,34480,975,12837,0,44816,539,4413
Czech Republic,203,2005,10231000,4982000,5249000,322540,181719,140821,2547,49148,0,269216,1348,1829
Hungary,348,2005,10096000,4792000,5304000,366787,174216,192571,4371,27045,0,324638,2570,8046
Poland,616,2005,38464000,18643000,19820000,722509,297039,425470,2752,15067,0,679749,1309,4604
Republic of Moldova,498,2005,4158000,1991000,2166000,173957,76600,97357,0,10367,0,158143,0,84
Romania,642,2005,21408000,10439000,10969000,145162,66264,78898,46,17051,0,113896,23,2056
Russian Federation,643,2005,143623000,66836000,76786000,11667588,5806597,5860991,10925,6730665,0,4913033,5300,1523
Slovakia,703,2005,5385000,2612000,2774000,130491,58716,71775,700,4558,0,124185,421,368
Ukraine,804,2005,46795000,21701000,25095000,5050302,2168060,2882242,1816,789787,0,3901176,0,2346
Channel Islands,830,2005,154000,76000,78000,70941,33611,37330,0,0,0,68807,0,NA
